Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disoder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,23.39%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,4.41%,$74.21,$45.40,$0.00,0,$0.00,0,$0.33,0.004,$0.19,0.003,$0.05,0.002,$0.00,0,$0.00,0,$0.03,0.001,$0.48,0.015,$0.25,0.02,$0.10,0.003,$0.09,0.003,$0.00,0,$0.00,0,$0.00,0,$1.42,0.059,0,0,$3.52,0.341,$1.43,0.039,$0.18,0.004,$0.00,0,$0.00,0.001,$0.05,0.001,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.03,0.001,$0.02,0.003,$0.22,0.017,$0.01,0.007,$1.42,0.052,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,4.20%,$144.44,$152.88,$0.04,0,$0.01,0,$6.16,0.051,$2.02,0.019,$0.43,0.006,$0.01,0,$0.00,0,$0.15,0.005,$2.15,0.051,$1.11,0.078,$0.38,0.008,$0.32,0.007,$0.03,0.001,$0.03,0,$0.00,0,$5.66,0.126,0.001,0,$7.52,0.586,$2.70,0.07,$0.29,0.006,$0.00,0,$0.01,0.001,$0.42,0.005,$0.00,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.14,0.005,$0.10,0.005,$1.01,0.073,$0.04,0.014,$5.62,0.112,0,0,0,0,0,0,0,0,0,0,$0.28,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,4.31%,$210.23,$248.54,$0.17,0.001,$0.03,0,$14.82,0.109,$4.46,0.038,$0.92,0.012,$0.04,0,$0.00,0,$0.34,0.011,$3.98,0.107,$2.63,0.176,$1.17,0.018,$0.88,0.014,$0.09,0.002,$0.20,0,$0.00,0,$11.36,0.196,0.001,0,$11.85,0.828,$4.04,0.104,$0.35,0.007,$0.01,0,$0.02,0.001,$0.90,0.011,$0.00,0,$0.04,0,$0.00,0,$0.00,0,$0.01,0,$0.33,0.01,$0.22,0.01,$2.41,0.166,$0.12,0.022,$11.24,0.175,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$1.68,0.02,$0.10,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.99%,$271.90,$348.81,$0.48,0.002,$0.04,0,$24.33,0.172,$7.50,0.059,$1.55,0.019,$0.08,0.001,$0.00,0,$0.56,0.017,$6.53,0.178,$4.69,0.296,$2.29,0.031,$1.57,0.023,$0.18,0.004,$0.53,0,$0.00,0,$16.13,0.257,0.001,0,$16.54,1.073,$5.55,0.136,$0.43,0.008,$0.01,0,$0.03,0.001,$1.52,0.018,$0.00,0,$0.08,0,$0.00,0,$0.00,0,$0.03,0.001,$0.54,0.017,$0.47,0.018,$4.22,0.278,$0.19,0.03,$15.94,0.227,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$4.44,0.04,$0.53,0.01,$0.04,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.54%,$329.82,$449.38,$0.99,0.003,$0.04,0,$33.28,0.229,$10.36,0.079,$2.29,0.029,$0.15,0.001,$0.00,0,$0.81,0.024,$8.78,0.247,$6.88,0.418,$3.92,0.048,$2.60,0.034,$0.34,0.006,$0.98,0.01,$0.00,0,$20.90,0.315,0.001,0,$21.28,1.311,$7.33,0.168,$0.51,0.009,$0.01,0,$0.05,0.002,$2.24,0.027,$0.00,0,$0.15,0.001,$0.00,0,$0.00,0,$0.03,0.001,$0.77,0.023,$0.77,0.027,$6.11,0.391,$0.32,0.04,$20.59,0.276,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$7.56,0.06,$1.25,0.01,$0.15,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$600,3.17%,$384.38,$548.78,$1.70,0.004,$0.06,0,$42.12,0.283,$13.37,0.099,$2.95,0.036,$0.31,0.001,$0.00,0,$1.14,0.033,$11.08,0.318,$9.28,0.547,$5.97,0.068,$3.84,0.048,$0.50,0.008,$1.63,0.01,$0.00,0,$25.31,0.37,0.001,0,$25.62,1.516,$8.86,0.197,$0.58,0.01,$0.02,0,$0.08,0.003,$2.87,0.034,$0.01,0,$0.31,0.001,$0.00,0,$0.00,0,$0.07,0.001,$1.08,0.031,$1.18,0.037,$8.10,0.51,$0.41,0.049,$24.90,0.321,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$11.04,0.09,$2.21,0.02,$0.34,0,$0.04,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$700,2.89%,$435.91,$648.95,$2.46,0.006,$0.08,0,$50.57,0.334,$16.13,0.117,$3.81,0.046,$0.48,0.002,$0.01,0,$1.42,0.04,$13.82,0.383,$11.72,0.665,$8.35,0.089,$5.26,0.062,$0.68,0.01,$2.42,0.02,$0.00,0,$29.25,0.42,0.001,0,$29.96,1.717,$10.43,0.223,$0.70,0.011,$0.02,0.001,$0.11,0.004,$3.69,0.042,$0.02,0,$0.46,0.002,$0.00,0,$0.01,0,$0.09,0.002,$1.33,0.038,$1.69,0.049,$10.03,0.616,$0.53,0.06,$28.73,0.361,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$14.83,0.11,$3.43,0.03,$0.67,0.01,$0.11,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$800,2.67%,$484.66,$748.81,$3.58,0.007,$0.09,0,$58.49,0.382,$19.07,0.136,$4.57,0.054,$0.65,0.003,$0.01,0,$1.73,0.049,$16.32,0.447,$14.17,0.784,$11.04,0.113,$6.90,0.078,$0.88,0.012,$3.27,0.02,$0.00,0,$33.43,0.472,0.001,0,$34.19,1.909,$12.05,0.25,$0.78,0.012,$0.02,0.001,$0.13,0.004,$4.45,0.05,$0.03,0,$0.62,0.002,$0.00,0,$0.01,0,$0.10,0.002,$1.63,0.046,$2.12,0.059,$12.05,0.724,$0.70,0.07,$32.73,0.402,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$18.76,0.14,$4.90,0.04,$1.12,0.01,$0.25,0,$0.06,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$900,2.35%,$530.92,$849.82,$4.60,0.009,$0.13,0,$65.31,0.421,$22.08,0.156,$5.35,0.062,$0.90,0.003,$0.02,0,$2.03,0.057,$18.47,0.5,$16.35,0.885,$13.77,0.136,$8.56,0.094,$1.05,0.013,$4.17,0.03,$0.00,0,$37.01,0.518,0.001,0,$38.39,2.083,$13.83,0.274,$0.92,0.012,$0.03,0.001,$0.15,0.004,$5.20,0.058,$0.06,0,$0.84,0.003,$0.00,0,$0.01,0,$0.13,0.003,$1.89,0.054,$2.54,0.069,$13.81,0.816,$0.89,0.081,$36.11,0.437,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$22.20,0.16,$6.26,0.05,$1.57,0.01,$0.38,0,$0.10,0,$0.03,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
