Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disoder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$1,000",2.14%,$574.92,$949.20,$5.81,0.01,$0.18,0,$71.57,0.458,$25.14,0.177,$6.09,0.071,$1.16,0.004,$0.03,0,$2.34,0.065,$20.57,0.551,$18.68,0.989,$16.75,0.16,$10.19,0.11,$1.24,0.015,$5.32,0.03,$0.00,0,$40.24,0.561,0.001,0,$42.60,2.254,$15.33,0.294,$1.08,0.013,$0.03,0.001,$0.18,0.005,$5.92,0.066,$0.11,0,$1.05,0.004,$0.01,0,$0.02,0,$0.16,0.004,$2.19,0.061,$2.98,0.08,$15.70,0.909,$1.13,0.093,$39.11,0.468,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$25.51,0.18,$7.69,0.06,$2.10,0.02,$0.57,0.01,$0.16,0,$0.05,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
"$1,100",2.02%,$616.84,"$1,049.08",$7.10,0.012,$0.21,0,$77.66,0.493,$28.00,0.197,$6.91,0.079,$1.38,0.005,$0.04,0,$2.72,0.073,$22.69,0.599,$21.13,1.089,$19.50,0.182,$11.88,0.126,$1.43,0.017,$6.18,0.04,$0.00,0,$43.53,0.602,0.002,0,$46.82,2.415,$16.89,0.314,$1.18,0.014,$0.04,0.001,$0.20,0.005,$6.71,0.074,$0.13,0,$1.25,0.005,$0.01,0,$0.03,0,$0.18,0.004,$2.54,0.069,$3.51,0.09,$17.62,0.999,$1.41,0.102,$42.12,0.5,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$28.94,0.2,$9.36,0.07,$2.77,0.02,$0.81,0.01,$0.26,0,$0.08,0,$0.02,0,$0.01,0,$0.01,0,$0.00,0
"$1,200",1.72%,$656.91,"$1,149.82",$8.31,0.013,$0.24,0,$82.86,0.525,$30.65,0.215,$7.64,0.088,$1.63,0.006,$0.04,0,$3.10,0.084,$24.68,0.642,$23.34,1.177,$22.13,0.203,$13.33,0.14,$1.61,0.018,$7.19,0.04,$0.00,0,$46.35,0.642,0.002,0,$50.61,2.559,$18.37,0.331,$1.27,0.015,$0.05,0.001,$0.22,0.006,$7.42,0.082,$0.16,0,$1.47,0.005,$0.01,0,$0.03,0,$0.26,0.006,$2.84,0.078,$4.12,0.102,$19.22,1.075,$1.61,0.114,$44.74,0.528,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$32.00,0.22,$10.86,0.08,$3.44,0.03,$1.10,0.01,$0.37,0,$0.13,0,$0.03,0,$0.01,0,$0.01,0,$0.00,0
"$1,300",1.60%,$695.30,"$1,249.15",$9.62,0.015,$0.28,0,$87.80,0.554,$33.19,0.232,$8.54,0.096,$2.00,0.007,$0.04,0,$3.66,0.097,$26.39,0.681,$25.34,1.259,$24.74,0.223,$14.77,0.153,$1.82,0.02,$8.15,0.05,$0.00,0,$49.11,0.678,0.002,0,$54.23,2.691,$19.99,0.349,$1.36,0.016,$0.06,0.001,$0.25,0.006,$8.30,0.09,$0.21,0.001,$1.79,0.006,$0.01,0,$0.03,0,$0.31,0.006,$3.35,0.091,$4.61,0.113,$20.73,1.146,$1.80,0.123,$47.31,0.555,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$35.01,0.24,$12.52,0.09,$4.26,0.03,$1.49,0.01,$0.53,0.01,$0.19,0,$0.06,0,$0.03,0,$0.01,0,$0.01,0
"$1,400",1.53%,$732.14,"$1,349.55",$11.44,0.017,$0.30,0,$92.22,0.58,$35.88,0.249,$9.27,0.104,$2.42,0.008,$0.05,0.001,$4.13,0.11,$28.38,0.72,$27.29,1.338,$27.47,0.244,$16.27,0.168,$2.01,0.022,$9.19,0.05,$0.00,0,$51.76,0.713,0.002,0,$57.63,2.823,$21.62,0.364,$1.48,0.016,$0.06,0.001,$0.26,0.006,$9.01,0.097,$0.29,0.001,$2.13,0.007,$0.01,0,$0.04,0,$0.35,0.007,$3.78,0.103,$5.08,0.125,$22.20,1.213,$2.00,0.134,$49.76,0.579,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$37.68,0.26,$13.91,0.1,$4.91,0.04,$1.79,0.02,$0.67,0.01,$0.25,0,$0.08,0,$0.04,0,$0.02,0,$0.01,0
"$1,500",1.39%,$767.52,"$1,449.81",$13.43,0.019,$0.33,0,$96.22,0.604,$38.34,0.265,$10.04,0.111,$2.80,0.009,$0.06,0.001,$4.60,0.122,$30.13,0.753,$29.23,1.409,$29.94,0.262,$17.56,0.179,$2.20,0.024,$10.18,0.06,$0.00,0,$54.36,0.745,0.002,0,$60.95,2.942,$23.21,0.38,$1.62,0.017,$0.06,0.001,$0.29,0.007,$9.75,0.105,$0.35,0.001,$2.45,0.008,$0.01,0,$0.05,0.001,$0.38,0.008,$4.21,0.114,$5.66,0.136,$23.57,1.273,$2.32,0.144,$52.04,0.601,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$40.17,0.28,$15.29,0.11,$5.62,0.04,$2.13,0.02,$0.82,0.01,$0.31,0,$0.11,0,$0.05,0,$0.03,0,$0.01,0
"$1,600",1.30%,$801.54,"$1,549.07",$15.33,0.02,$0.36,0.001,$99.94,0.626,$40.66,0.28,$10.93,0.121,$3.12,0.01,$0.06,0.001,$4.99,0.131,$32.01,0.788,$31.09,1.476,$32.17,0.278,$18.74,0.19,$2.39,0.025,$11.05,0.06,$0.00,0,$57.08,0.778,0.002,0,$64.23,3.059,$24.89,0.394,$1.74,0.018,$0.07,0.002,$0.36,0.008,$10.57,0.113,$0.41,0.001,$2.70,0.009,$0.01,0,$0.05,0.001,$0.47,0.009,$4.52,0.123,$6.18,0.145,$24.92,1.331,$2.63,0.154,$54.45,0.623,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$42.63,0.29,$16.72,0.12,$6.40,0.05,$2.52,0.02,$1.02,0.01,$0.40,0,$0.15,0,$0.07,0,$0.03,0,$0.01,0
"$1,700",1.18%,$834.33,"$1,648.98",$17.19,0.022,$0.40,0.001,$103.17,0.645,$43.07,0.296,$11.77,0.13,$3.49,0.01,$0.06,0.001,$5.51,0.143,$33.70,0.816,$32.78,1.537,$34.41,0.295,$19.93,0.201,$2.53,0.027,$11.95,0.07,$0.00,0,$59.52,0.808,0.002,0,$67.32,3.162,$26.51,0.406,$1.89,0.019,$0.07,0.002,$0.40,0.008,$11.37,0.121,$0.51,0.001,$2.98,0.009,$0.01,0,$0.05,0.001,$0.56,0.01,$4.95,0.133,$6.68,0.155,$26.10,1.382,$2.84,0.163,$56.68,0.645,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$44.66,0.31,$17.85,0.13,$6.97,0.05,$2.82,0.02,$1.16,0.01,$0.46,0,$0.18,0,$0.08,0,$0.04,0,$0.02,0
"$1,800",1.11%,$865.97,"$1,749.30",$19.08,0.024,$0.43,0.001,$106.30,0.663,$45.30,0.311,$12.58,0.137,$4.06,0.012,$0.07,0.001,$5.89,0.152,$35.53,0.843,$34.44,1.596,$36.71,0.311,$21.17,0.213,$2.67,0.028,$12.87,0.07,$0.00,0,$61.82,0.835,0.002,0,$70.31,3.257,$28.17,0.417,$2.00,0.02,$0.07,0.002,$0.51,0.009,$12.07,0.127,$0.70,0.001,$3.35,0.01,$0.01,0,$0.06,0.001,$0.62,0.011,$5.27,0.141,$7.13,0.163,$27.31,1.432,$3.16,0.172,$58.66,0.664,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$46.68,0.32,$19.00,0.14,$7.59,0.06,$3.12,0.03,$1.30,0.01,$0.53,0.01,$0.21,0,$0.10,0,$0.05,0,$0.02,0
"$1,900",1.01%,$896.56,"$1,849.65",$21.42,0.025,$0.46,0.001,$109.05,0.679,$47.34,0.325,$13.32,0.143,$4.48,0.013,$0.09,0.001,$6.28,0.162,$37.22,0.867,$36.00,1.649,$38.82,0.326,$22.17,0.222,$2.85,0.029,$13.80,0.07,$0.00,0,$64.04,0.86,0.002,0,$73.12,3.351,$29.62,0.426,$2.17,0.021,$0.07,0.002,$0.53,0.01,$12.79,0.134,$0.82,0.002,$3.66,0.011,$0.02,0,$0.07,0.001,$0.67,0.012,$5.61,0.15,$7.58,0.171,$28.42,1.478,$3.53,0.18,$60.51,0.68,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$48.46,0.33,$20.09,0.15,$8.21,0.06,$3.47,0.03,$1.48,0.01,$0.63,0.01,$0.27,0,$0.13,0,$0.07,0,$0.03,0
"$2,000",0.99%,$926.14,"$1,949.02",$23.76,0.027,$0.56,0.001,$111.93,0.696,$49.39,0.338,$13.99,0.15,$4.94,0.014,$0.12,0.001,$6.75,0.173,$38.96,0.892,$37.51,1.702,$40.92,0.34,$23.19,0.231,$3.04,0.03,$14.69,0.08,$0.00,0,$66.43,0.886,0.002,0,$75.87,3.436,$31.15,0.436,$2.28,0.021,$0.08,0.002,$0.54,0.01,$13.45,0.14,$0.91,0.002,$4.03,0.012,$0.05,0,$0.07,0.001,$0.78,0.014,$5.97,0.159,$8.04,0.18,$29.47,1.521,$3.88,0.188,$62.55,0.698,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,$50.38,0.34,$21.22,0.15,$8.84,0.07,$3.80,0.03,$1.65,0.01,$0.70,0.01,$0.30,0,$0.15,0,$0.07,0,$0.03,0
"$2,100",0.86%,$954.81,"$2,049.52",$25.86,0.029,$0.60,0.001,$114.16,0.709,$51.48,0.351,$14.75,0.157,$5.36,0.015,$0.12,0.001,$7.15,0.182,$40.63,0.914,$38.92,1.749,$42.63,0.352,$24.07,0.239,$3.18,0.032,$15.38,0.08,$0.00,0,$68.30,0.908,0.002,0,$78.40,3.509,$32.68,0.445,$2.45,0.022,$0.08,0.002,$0.55,0.01,$14.19,0.148,$1.02,0.002,$4.34,0.013,$0.05,0,$0.08,0.001,$0.83,0.014,$6.32,0.168,$8.45,0.188,$30.47,1.561,$4.18,0.196,$64.11,0.712,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,$51.90,0.35,$22.16,0.16,$9.41,0.07,$4.14,0.03,$1.86,0.02,$0.83,0.01,$0.37,0,$0.19,0,$0.10,0,$0.05,0
"$2,200",0.84%,$982.62,"$2,149.23",$28.29,0.031,$0.66,0.001,$116.35,0.722,$53.15,0.362,$15.45,0.171,$5.89,0.016,$0.13,0.001,$7.69,0.196,$42.21,0.933,$40.30,1.793,$44.34,0.364,$24.92,0.247,$3.33,0.033,$16.10,0.08,$0.00,0,$70.38,0.931,0.002,0,$80.72,3.581,$34.35,0.455,$2.74,0.023,$0.08,0.002,$0.59,0.011,$14.86,0.161,$1.15,0.002,$4.74,0.014,$0.05,0,$0.09,0.001,$0.90,0.015,$6.80,0.18,$8.79,0.195,$31.51,1.598,$4.56,0.204,$65.82,0.727,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,$53.40,0.36,$23.06,0.16,$9.91,0.07,$4.41,0.03,$1.98,0.02,$0.89,0.01,$0.41,0,$0.20,0,$0.11,0,$0.06,0
"$2,300",0.79%,"$1,009.62","$2,249.52",$30.74,0.032,$0.74,0.001,$118.37,0.733,$54.93,0.374,$16.09,0.178,$6.38,0.017,$0.16,0.002,$8.16,0.207,$43.79,0.95,$41.53,1.832,$46.12,0.375,$25.88,0.255,$3.44,0.034,$16.80,0.09,$0.00,0,$72.41,0.953,0.003,0,$82.93,3.646,$36.08,0.464,$2.93,0.024,$0.08,0.002,$0.62,0.011,$15.47,0.167,$1.30,0.002,$5.08,0.015,$0.06,0,$0.10,0.001,$0.94,0.016,$7.21,0.191,$9.15,0.202,$32.38,1.63,$4.96,0.21,$67.44,0.743,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,$54.78,0.37,$23.89,0.17,$10.38,0.08,$4.68,0.04,$2.13,0.02,$0.98,0.01,$0.47,0,$0.24,0,$0.13,0,$0.07,0
"$2,400",0.75%,"$1,035.85","$2,349.23",$33.02,0.034,$0.86,0.001,$120.45,0.745,$56.73,0.386,$16.88,0.186,$6.89,0.018,$0.17,0.002,$8.67,0.219,$45.22,0.966,$42.79,1.872,$47.83,0.386,$26.68,0.262,$3.58,0.034,$17.58,0.09,$0.00,0,$74.23,0.974,0.003,0,$85.30,3.713,$37.67,0.471,$3.09,0.025,$0.09,0.002,$0.66,0.012,$16.22,0.174,$1.43,0.002,$5.46,0.016,$0.06,0.001,$0.11,0.001,$1.03,0.017,$7.64,0.202,$9.46,0.208,$33.34,1.664,$5.34,0.217,$68.89,0.756,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$56.26,0.38,$24.84,0.18,$10.95,0.08,$5.02,0.04,$2.34,0.02,$1.09,0.01,$0.51,0,$0.26,0,$0.14,0,$0.07,0
"$2,500",0.71%,"$1,061.36","$2,450.29",$35.58,0.035,$0.90,0.001,$122.39,0.757,$58.59,0.397,$17.52,0.192,$7.33,0.019,$0.18,0.002,$9.11,0.229,$46.71,0.982,$44.06,1.908,$49.39,0.397,$27.42,0.269,$3.69,0.035,$18.28,0.09,$0.00,0,$76.25,0.995,0.003,0,$87.45,3.781,$39.22,0.48,$3.32,0.026,$0.09,0.002,$0.70,0.012,$16.82,0.18,$1.57,0.003,$5.76,0.017,$0.06,0.001,$0.12,0.001,$1.12,0.019,$7.99,0.211,$9.84,0.215,$34.21,1.694,$5.77,0.224,$70.47,0.771,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$57.67,0.38,$25.77,0.18,$11.54,0.09,$5.40,0.04,$2.58,0.02,$1.26,0.01,$0.62,0.01,$0.33,0,$0.19,0,$0.11,0
"$2,600",0.70%,"$1,086.15","$2,549.34",$38.32,0.037,$0.96,0.001,$124.14,0.768,$60.39,0.409,$18.21,0.199,$7.73,0.02,$0.19,0.002,$9.70,0.24,$48.46,0.997,$45.18,1.942,$50.88,0.407,$28.16,0.276,$3.77,0.036,$18.95,0.1,$0.00,0,$78.08,1.015,0.003,0,$89.41,3.839,$41.09,0.489,$3.52,0.026,$0.09,0.002,$0.70,0.012,$17.50,0.186,$1.71,0.003,$6.02,0.017,$0.06,0.001,$0.13,0.002,$1.34,0.021,$8.35,0.219,$10.19,0.22,$34.99,1.722,$6.21,0.231,$71.87,0.783,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$58.88,0.39,$26.52,0.19,$11.97,0.09,$5.64,0.04,$2.71,0.02,$1.33,0.01,$0.66,0.01,$0.35,0,$0.20,0,$0.11,0
