Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$4,400",0.40%,"$1,881.01","$4,350.32",$79.38,0.059,$2.17,0.001,$188.04,1.095,$120.53,0.766,$47.73,0.445,$23.94,0.051,$0.69,0.007,$27.67,0.671,$85.14,1.282,$70.58,2.642,$88.30,0.667,$43.72,0.443,$6.78,0.057,$37.81,0.17,$0.01,0,$132.93,1.658,0.001,0,$143.05,5.545,$78.12,0.661,$8.68,0.044,$0.28,0.004,$1.71,0.026,$46.02,0.419,$9.34,0.012,$14.60,0.039,$0.14,0.002,$0.56,0.006,$4.12,0.056,$23.55,0.616,$21.72,0.477,$48.86,2.164,$21.79,0.46,$111.14,1.197,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$98.72,0.61,$49.99,0.33,$25.40,0.17,$13.39,0.1,$7.30,0.05,$4.09,0.03,$2.36,0.02,$1.45,0.01,$0.91,0.01,$0.56,0.01
"$4,500",0.39%,"$1,905.14","$4,449.27",$81.68,0.06,$2.31,0.001,$189.11,1.101,$122.00,0.775,$48.63,0.453,$24.71,0.052,$0.72,0.007,$28.27,0.685,$86.60,1.291,$71.53,2.665,$89.56,0.674,$44.25,0.448,$6.84,0.058,$38.48,0.17,$0.01,0,$135.09,1.674,0.001,0,$144.85,5.588,$80.10,0.668,$8.95,0.045,$0.29,0.004,$1.76,0.027,$46.87,0.426,$9.73,0.012,$14.98,0.04,$0.14,0.002,$0.58,0.006,$4.25,0.057,$24.03,0.627,$22.09,0.483,$49.44,2.181,$22.78,0.468,$112.30,1.206,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$99.55,0.62,$50.57,0.33,$25.78,0.18,$13.64,0.1,$7.46,0.06,$4.20,0.03,$2.43,0.02,$1.50,0.01,$0.94,0.01,$0.59,0.01
"$4,600",0.37%,"$1,928.89","$4,549.02",$84.07,0.061,$2.45,0.001,$190.07,1.107,$123.57,0.784,$49.63,0.461,$25.45,0.054,$0.77,0.008,$28.85,0.697,$87.88,1.299,$72.43,2.686,$90.71,0.681,$44.75,0.453,$6.91,0.058,$39.06,0.17,$0.01,0,$137.15,1.69,0.001,0,$146.44,5.626,$82.02,0.674,$9.21,0.045,$0.31,0.004,$1.83,0.028,$47.81,0.433,$10.11,0.013,$15.33,0.041,$0.14,0.002,$0.63,0.006,$4.38,0.059,$24.47,0.638,$22.40,0.489,$50.03,2.197,$23.77,0.476,$113.38,1.214,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$100.30,0.62,$51.09,0.33,$26.12,0.18,$13.86,0.1,$7.60,0.06,$4.29,0.03,$2.49,0.02,$1.54,0.01,$0.97,0.01,$0.60,0.01
"$4,700",0.34%,"$1,952.29","$4,649.81",$86.45,0.062,$2.56,0.001,$190.96,1.112,$124.95,0.793,$50.47,0.468,$26.17,0.055,$0.79,0.008,$29.41,0.709,$89.15,1.306,$73.30,2.706,$91.77,0.687,$45.17,0.457,$6.96,0.059,$39.63,0.17,$0.01,0,$139.31,1.705,0.002,0,$147.90,5.664,$83.88,0.68,$9.43,0.046,$0.31,0.004,$1.86,0.028,$48.61,0.44,$10.46,0.013,$15.71,0.042,$0.14,0.002,$0.64,0.007,$4.51,0.061,$24.90,0.649,$22.75,0.495,$50.55,2.212,$24.87,0.483,$114.44,1.222,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,$101.00,0.63,$51.58,0.34,$26.45,0.18,$14.07,0.1,$7.73,0.06,$4.37,0.03,$2.54,0.02,$1.57,0.01,$0.99,0.01,$0.62,0.01
"$4,800",0.34%,"$1,975.34","$4,749.81",$88.80,0.063,$2.71,0.001,$191.87,1.117,$126.29,0.8,$51.46,0.476,$26.93,0.056,$0.81,0.008,$30.00,0.723,$90.44,1.313,$74.22,2.727,$92.77,0.693,$45.57,0.46,$7.03,0.059,$40.18,0.17,$0.01,0,$141.36,1.721,0.002,0,$149.46,5.701,$85.90,0.686,$9.71,0.047,$0.33,0.004,$1.92,0.029,$49.53,0.448,$10.85,0.013,$16.09,0.043,$0.15,0.002,$0.66,0.007,$4.64,0.063,$25.36,0.66,$23.10,0.5,$51.12,2.227,$25.97,0.491,$115.39,1.23,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,$101.71,0.63,$52.08,0.34,$26.78,0.18,$14.29,0.1,$7.88,0.06,$4.47,0.03,$2.61,0.02,$1.62,0.01,$1.02,0.01,$0.64,0.01
"$4,900",0.33%,"$1,998.07","$4,849.92",$90.95,0.064,$2.86,0.001,$192.77,1.122,$127.61,0.808,$52.37,0.484,$27.65,0.057,$0.82,0.008,$30.61,0.736,$91.73,1.32,$75.04,2.747,$93.73,0.699,$45.95,0.464,$7.09,0.06,$40.68,0.18,$0.01,0,$143.49,1.737,0.002,0,$151.00,5.738,$87.88,0.692,$9.91,0.047,$0.33,0.004,$1.97,0.029,$50.40,0.455,$11.21,0.014,$16.44,0.044,$0.15,0.002,$0.67,0.007,$4.78,0.065,$25.83,0.671,$23.44,0.506,$51.60,2.241,$27.08,0.499,$116.42,1.238,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$102.41,0.64,$52.57,0.34,$27.11,0.18,$14.51,0.1,$8.03,0.06,$4.57,0.04,$2.67,0.02,$1.66,0.01,$1.05,0.01,$0.66,0.01
"$5,000",0.32%,"$2,020.46","$4,949.68",$93.33,0.065,$3.01,0.001,$193.62,1.127,$128.91,0.815,$53.13,0.49,$28.30,0.059,$0.85,0.009,$31.11,0.746,$92.95,1.327,$75.94,2.767,$94.72,0.704,$46.34,0.468,$7.15,0.06,$41.22,0.18,$0.01,0,$145.58,1.752,0.002,0,$152.44,5.772,$89.78,0.698,$10.14,0.048,$0.34,0.004,$2.00,0.029,$51.13,0.461,$11.58,0.014,$16.72,0.044,$0.16,0.002,$0.70,0.007,$4.89,0.066,$26.23,0.681,$23.75,0.511,$52.18,2.257,$28.15,0.506,$117.44,1.246,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$103.08,0.64,$53.07,0.35,$27.47,0.19,$14.76,0.1,$8.20,0.06,$4.69,0.04,$2.76,0.02,$1.72,0.02,$1.10,0.01,$0.70,0.01
"$5,100",0.32%,"$2,042.54","$5,048.97",$95.58,0.066,$3.18,0.001,$194.55,1.132,$130.23,0.823,$53.92,0.498,$29.05,0.06,$0.88,0.009,$31.69,0.76,$94.17,1.334,$76.80,2.788,$95.64,0.71,$46.71,0.472,$7.21,0.06,$41.71,0.18,$0.01,0,$147.65,1.767,0.002,0,$153.98,5.806,$91.81,0.703,$10.36,0.048,$0.36,0.004,$2.05,0.03,$51.87,0.467,$11.99,0.015,$17.05,0.045,$0.16,0.002,$0.72,0.007,$4.99,0.067,$26.69,0.692,$24.08,0.516,$52.72,2.272,$29.25,0.513,$118.40,1.253,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$103.81,0.64,$53.58,0.35,$27.82,0.19,$14.99,0.11,$8.34,0.06,$4.78,0.04,$2.81,0.02,$1.76,0.02,$1.13,0.01,$0.71,0.01
"$5,200",0.30%,"$2,064.32","$5,149.25",$97.76,0.067,$3.31,0.001,$195.42,1.137,$131.36,0.83,$54.77,0.505,$29.77,0.061,$0.89,0.009,$32.31,0.775,$95.28,1.341,$77.58,2.805,$96.59,0.716,$47.11,0.475,$7.26,0.061,$42.22,0.18,$0.01,0,$149.72,1.781,0.002,0,$155.44,5.84,$93.83,0.709,$10.61,0.049,$0.39,0.004,$2.10,0.031,$52.66,0.474,$12.39,0.015,$17.37,0.046,$0.16,0.002,$0.73,0.007,$5.14,0.069,$27.17,0.706,$24.36,0.521,$53.22,2.284,$30.36,0.52,$119.36,1.26,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$104.51,0.65,$54.09,0.35,$28.16,0.19,$15.21,0.11,$8.49,0.06,$4.88,0.04,$2.88,0.02,$1.80,0.02,$1.15,0.01,$0.73,0.01
"$5,300",0.30%,"$2,085.80","$5,250.58",$99.81,0.068,$3.47,0.001,$196.17,1.142,$132.59,0.837,$55.68,0.512,$30.52,0.062,$0.92,0.009,$32.84,0.786,$96.40,1.347,$78.41,2.824,$97.50,0.721,$47.48,0.479,$7.32,0.061,$42.69,0.18,$0.01,0,$151.81,1.796,0.002,0,$156.95,5.873,$95.88,0.715,$10.87,0.05,$0.41,0.004,$2.16,0.031,$53.52,0.481,$12.79,0.015,$17.73,0.047,$0.18,0.002,$0.75,0.008,$5.28,0.07,$27.57,0.715,$24.70,0.526,$53.71,2.298,$31.47,0.528,$120.33,1.268,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$105.09,0.65,$54.50,0.35,$28.44,0.19,$15.40,0.11,$8.62,0.06,$4.96,0.04,$2.94,0.02,$1.84,0.02,$1.18,0.01,$0.76,0.01
