Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,16.14%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,3.52%,$81.95,$45.74,$0.01,0,$0.00,0,$0.46,0.009,$0.31,0.005,$0.05,0.001,$0.00,0,$0.00,0,$0.05,0.002,$0.73,0.025,$0.29,0.026,$0.08,0.003,$0.07,0.002,$0.00,0,$0.01,0,$0.00,0,$1.77,0.071,0.001,0,$3.77,0.396,$0.97,0.03,$0.16,0.004,$0.00,0,$0.00,0,$0.05,0.001,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.05,0.002,$0.04,0.002,$0.25,0.024,$0.01,0.005,$1.76,0.066,0,0,0,0,0,0,0,0,0,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,3.91%,$160.46,$153.18,$0.04,0,$0.01,0,$6.88,0.062,$3.09,0.029,$0.46,0.007,$0.01,0,$0.00,0,$0.32,0.011,$2.72,0.07,$1.21,0.09,$0.36,0.008,$0.27,0.007,$0.04,0.001,$0.05,0,$0.00,0,$8.06,0.165,0.001,0,$8.15,0.676,$2.23,0.071,$0.26,0.006,$0.00,0,$0.01,0,$0.45,0.006,$0.00,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.32,0.011,$0.18,0.008,$1.04,0.082,$0.08,0.012,$7.98,0.153,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,$0.37,0.01,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,3.92%,$234.90,$249.19,$0.17,0.001,$0.02,0,$16.64,0.126,$6.84,0.056,$1.17,0.015,$0.02,0,$0.00,0,$0.63,0.02,$5.73,0.138,$2.75,0.19,$1.03,0.019,$0.67,0.014,$0.10,0.002,$0.26,0,$0.00,0,$14.78,0.252,0.001,0,$12.60,0.939,$4.00,0.12,$0.36,0.007,$0.01,0,$0.03,0.001,$1.14,0.014,$0.00,0,$0.02,0,$0.00,0,$0.00,0,$0.01,0,$0.62,0.02,$0.45,0.02,$2.30,0.171,$0.21,0.024,$14.57,0.228,0,0,0,0,0,0,0.001,0.001,0.001,0.001,$1.90,0.02,$0.13,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.63%,$305.58,$349.79,$0.49,0.002,$0.03,0,$26.81,0.191,$10.61,0.084,$1.97,0.025,$0.05,0,$0.00,0,$1.01,0.032,$8.80,0.211,$4.86,0.314,$2.04,0.033,$1.29,0.024,$0.17,0.003,$0.57,0.01,$0.00,0,$21.17,0.336,0.001,0,$17.56,1.22,$5.72,0.161,$0.46,0.009,$0.01,0,$0.05,0.002,$1.92,0.023,$0.00,0,$0.05,0,$0.00,0,$0.00,0,$0.02,0,$0.99,0.031,$0.88,0.037,$3.97,0.277,$0.39,0.039,$20.78,0.297,0,0,0,0,0,0,0,0,0,0.001,$4.52,0.04,$0.52,0.01,$0.05,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.44%,$372.73,$449.69,$0.99,0.003,$0.06,0,$36.62,0.251,$14.55,0.112,$2.76,0.034,$0.10,0.001,$0.00,0,$1.37,0.042,$12.40,0.293,$7.36,0.453,$3.51,0.051,$2.14,0.036,$0.30,0.005,$1.07,0.01,$0.00,0,$27.80,0.423,0.001,0,$22.74,1.491,$7.57,0.205,$0.59,0.01,$0.01,0,$0.07,0.002,$2.69,0.032,$0.01,0,$0.09,0.001,$0.00,0,$0.00,0,$0.03,0.001,$1.34,0.042,$1.48,0.057,$5.88,0.396,$0.61,0.057,$27.19,0.366,0,0,0,0,0,0,0,0,0,0,$7.71,0.06,$1.21,0.01,$0.15,0,$0.02,0,$0.01,0,$0.01,0,$0.01,0,$0.01,0,$0.01,0,$0.00,0
$600,3.11%,$436.60,$549.58,$1.53,0.004,$0.07,0,$45.65,0.305,$18.30,0.139,$3.74,0.045,$0.19,0.001,$0.01,0,$1.76,0.053,$16.27,0.376,$9.94,0.588,$5.28,0.071,$3.16,0.05,$0.44,0.007,$1.68,0.01,$0.00,0,$33.78,0.503,0.001,0,$27.91,1.749,$9.28,0.24,$0.78,0.012,$0.01,0,$0.09,0.003,$3.65,0.042,$0.02,0,$0.17,0.001,$0.00,0,$0.01,0,$0.04,0.001,$1.72,0.052,$2.21,0.081,$7.74,0.506,$0.81,0.076,$32.97,0.427,0,0,0,0,0,0,0,0,0,0,$11.25,0.09,$2.17,0.02,$0.34,0,$0.05,0,$0.01,0,$0.01,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
$700,2.90%,$497.45,$649.21,$2.39,0.006,$0.08,0,$54.17,0.357,$22.08,0.166,$4.75,0.056,$0.35,0.002,$0.01,0,$2.18,0.065,$20.11,0.455,$12.63,0.723,$7.48,0.094,$4.39,0.065,$0.64,0.009,$2.45,0.02,$0.00,0,$39.50,0.583,0.001,0,$32.81,1.986,$11.24,0.274,$1.00,0.014,$0.02,0.001,$0.12,0.004,$4.62,0.053,$0.05,0,$0.30,0.001,$0.00,0,$0.01,0,$0.07,0.002,$2.10,0.064,$2.96,0.105,$9.68,0.618,$1.10,0.096,$38.40,0.487,0,0,0,0,0,0,0,0,0,0,$15.02,0.11,$3.36,0.03,$0.64,0.01,$0.13,0,$0.03,0,$0.01,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
$800,2.64%,$555.55,$749.67,$3.40,0.007,$0.10,0,$61.98,0.404,$25.83,0.191,$5.75,0.068,$0.54,0.002,$0.02,0,$2.67,0.079,$23.86,0.531,$15.26,0.85,$9.71,0.117,$5.68,0.081,$0.79,0.011,$3.24,0.02,$0.00,0,$44.97,0.659,0.001,0,$37.84,2.222,$13.13,0.307,$1.20,0.016,$0.02,0.001,$0.17,0.005,$5.59,0.063,$0.09,0,$0.45,0.002,$0.00,0,$0.02,0,$0.09,0.002,$2.58,0.078,$3.75,0.128,$11.51,0.722,$1.41,0.116,$43.56,0.542,0,0,0,0,0,0,0,0,0,0,$18.71,0.14,$4.74,0.04,$1.06,0.01,$0.25,0,$0.06,0,$0.02,0,$0.01,0,$0.01,0,$0.01,0,$0.00,0
$900,2.41%,$611.11,$849.49,$4.35,0.009,$0.12,0,$69.15,0.446,$29.34,0.216,$6.82,0.08,$0.80,0.003,$0.02,0,$3.19,0.094,$27.31,0.596,$17.81,0.968,$11.93,0.138,$6.95,0.096,$0.96,0.013,$4.02,0.03,$0.00,0,$50.11,0.729,0.001,0,$42.88,2.447,$15.19,0.337,$1.40,0.017,$0.02,0.001,$0.21,0.006,$6.61,0.074,$0.12,0,$0.68,0.003,$0.00,0,$0.02,0,$0.12,0.002,$3.07,0.092,$4.54,0.15,$13.26,0.818,$1.68,0.133,$48.42,0.596,0,0,0,0,0,0,0,0,0,0,$22.42,0.16,$6.26,0.05,$1.59,0.01,$0.42,0,$0.12,0,$0.04,0,$0.01,0,$0.01,0,$0.01,0,$0.00,0
