Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,14.64%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,3.05%,$83.73,$46.43,$0.00,0,$0.00,0,$0.51,0.007,$0.38,0.006,$0.07,0.002,$0.00,0,$0.00,0,$0.06,0.002,$0.72,0.02,$0.25,0.019,$0.07,0.002,$0.06,0.002,$0.01,0,$0.00,0,$0.00,0,$1.73,0.068,0,0,$3.37,0.377,$1.06,0.031,$0.16,0.004,$0.00,0,$0.00,0,$0.07,0.001,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.06,0.002,$0.05,0.003,$0.21,0.017,$0.02,0.005,$1.72,0.063,0,0,0,0,0,0,0,0,0,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,3.63%,$164.30,$152.04,$0.04,0,$0.01,0,$7.34,0.064,$3.41,0.033,$0.59,0.008,$0.01,0,$0.00,0,$0.35,0.011,$2.99,0.062,$1.18,0.076,$0.39,0.009,$0.25,0.006,$0.06,0.001,$0.08,0,$0.00,0,$7.76,0.162,0,0,$7.46,0.678,$2.22,0.068,$0.25,0.006,$0.00,0,$0.01,0,$0.58,0.007,$0.00,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.35,0.011,$0.21,0.01,$0.96,0.066,$0.09,0.013,$7.68,0.149,0,0,0,0,0,0,0,0,0,0,$0.41,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,3.63%,$241.13,$249.28,$0.20,0.001,$0.03,0,$17.33,0.131,$7.49,0.064,$1.26,0.015,$0.02,0,$0.00,0,$0.75,0.022,$6.01,0.122,$2.73,0.165,$1.13,0.02,$0.68,0.014,$0.15,0.003,$0.30,0,$0.00,0,$14.01,0.249,0,0,$11.97,0.987,$3.74,0.113,$0.35,0.007,$0.00,0,$0.02,0.001,$1.24,0.014,$0.00,0,$0.02,0,$0.00,0,$0.00,0,$0.01,0,$0.74,0.022,$0.53,0.023,$2.20,0.142,$0.19,0.027,$13.82,0.223,0,0,0,0,0,0,0,0,0,0,$2.05,0.02,$0.14,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.37%,$314.49,$349.65,$0.49,0.002,$0.04,0,$28.03,0.199,$11.78,0.096,$2.17,0.026,$0.06,0,$0.00,0,$1.19,0.035,$9.22,0.19,$4.92,0.283,$2.21,0.035,$1.26,0.024,$0.27,0.005,$0.67,0.01,$0.00,0,$19.85,0.335,0,0,$16.65,1.273,$5.22,0.15,$0.46,0.009,$0.01,0,$0.04,0.002,$2.13,0.024,$0.01,0,$0.05,0,$0.00,0,$0.00,0,$0.02,0,$1.17,0.034,$1.04,0.044,$3.87,0.239,$0.33,0.044,$19.52,0.291,0,0,0,0,0,0,0,0,0,0,$4.89,0.04,$0.60,0.01,$0.05,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.10%,$384.60,$449.19,$0.92,0.003,$0.05,0,$38.42,0.263,$15.93,0.126,$3.16,0.037,$0.10,0.001,$0.01,0,$1.67,0.047,$12.90,0.266,$7.37,0.408,$3.57,0.052,$1.94,0.034,$0.44,0.007,$1.19,0.01,$0.00,0,$25.34,0.417,0,0,$21.47,1.562,$6.81,0.187,$0.61,0.011,$0.01,0,$0.07,0.003,$3.09,0.034,$0.01,0,$0.09,0.001,$0.00,0,$0.00,0,$0.04,0.001,$1.62,0.046,$1.70,0.068,$5.67,0.339,$0.54,0.063,$24.81,0.354,0,0,0,0,0,0,0,0,0,0,$8.27,0.07,$1.33,0.01,$0.16,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$600,2.91%,$451.72,$549.45,$1.55,0.004,$0.06,0,$48.56,0.325,$20.18,0.156,$4.23,0.048,$0.17,0.001,$0.01,0,$2.23,0.063,$16.70,0.341,$10.14,0.538,$5.29,0.071,$2.78,0.047,$0.61,0.009,$1.89,0.01,$0.00,0,$30.42,0.495,0,0,$26.71,1.864,$8.62,0.224,$0.78,0.012,$0.01,0,$0.09,0.003,$4.14,0.044,$0.02,0,$0.15,0.001,$0.00,0,$0.01,0,$0.05,0.001,$2.17,0.062,$2.51,0.095,$7.63,0.443,$0.73,0.084,$29.69,0.411,0,0,0,0,0,0,0,0,0,0,$12.30,0.1,$2.44,0.02,$0.39,0,$0.06,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$700,2.65%,$516.05,$649.44,$2.32,0.006,$0.07,0,$57.81,0.38,$24.24,0.184,$5.35,0.059,$0.27,0.001,$0.01,0,$2.75,0.076,$20.54,0.412,$12.84,0.659,$7.34,0.093,$3.78,0.061,$0.83,0.012,$2.72,0.02,$0.00,0,$35.21,0.571,0,0,$31.75,2.138,$10.51,0.259,$0.98,0.014,$0.01,0,$0.13,0.004,$5.22,0.055,$0.05,0,$0.22,0.001,$0.00,0,$0.01,0,$0.09,0.002,$2.66,0.075,$3.41,0.122,$9.44,0.536,$0.97,0.105,$34.24,0.465,0,0,0,0,0,0,0,0,0,0,$16.34,0.12,$3.73,0.03,$0.73,0.01,$0.14,0,$0.03,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$800,2.48%,$577.81,$748.97,$3.22,0.007,$0.11,0,$66.51,0.432,$28.20,0.212,$6.49,0.071,$0.43,0.002,$0.02,0,$3.35,0.092,$24.39,0.483,$15.62,0.782,$9.37,0.115,$4.77,0.075,$1.03,0.014,$3.58,0.03,$0.00,0,$39.95,0.644,0.001,0,$36.88,2.413,$12.38,0.291,$1.20,0.016,$0.01,0,$0.16,0.005,$6.32,0.066,$0.08,0,$0.36,0.002,$0.00,0,$0.01,0,$0.13,0.002,$3.22,0.09,$4.32,0.151,$11.30,0.63,$1.19,0.127,$38.76,0.517,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,$20.46,0.15,$5.23,0.04,$1.17,0.01,$0.26,0,$0.06,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$900,2.28%,$637.20,$849.04,$4.31,0.009,$0.16,0,$74.58,0.479,$32.01,0.238,$7.62,0.083,$0.62,0.003,$0.02,0,$4.00,0.109,$28.00,0.549,$18.42,0.9,$11.57,0.136,$5.80,0.089,$1.24,0.016,$4.52,0.03,$0.00,0,$44.32,0.714,0.001,0,$41.86,2.67,$14.33,0.32,$1.44,0.018,$0.02,0,$0.20,0.006,$7.42,0.077,$0.12,0,$0.50,0.002,$0.00,0,$0.01,0,$0.19,0.003,$3.81,0.106,$5.29,0.18,$13.13,0.72,$1.44,0.148,$42.87,0.565,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$24.54,0.18,$6.81,0.06,$1.70,0.02,$0.42,0,$0.11,0,$0.03,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
