Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$1,000",2.06%,$676.56,$949.10,$5.69,0.011,$0.21,0.001,$77.58,0.516,$27.44,0.202,$7.27,0.086,$1.31,0.005,$0.03,0.001,$4.16,0.126,$28.56,0.712,$20.10,1.169,$14.24,0.156,$9.06,0.112,$1.40,0.017,$3.78,0.03,$0.00,0,$59.43,0.793,0.003,0,$44.72,2.471,$13.98,0.285,$1.43,0.015,$0.02,0.001,$0.16,0.005,$7.12,0.081,$0.14,0,$1.17,0.004,$0.00,0,$0.02,0,$0.20,0.005,$3.97,0.12,$3.80,0.127,$16.30,1.042,$1.94,0.132,$57.49,0.661,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,$29.22,0.22,$9.63,0.08,$2.92,0.03,$0.87,0.01,$0.26,0,$0.08,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0
"$1,100",1.94%,$730.03,"$1,049.25",$7.30,0.013,$0.23,0.001,$84.09,0.556,$30.41,0.223,$8.33,0.097,$1.73,0.006,$0.03,0.001,$4.77,0.144,$31.49,0.778,$22.41,1.287,$16.70,0.178,$10.52,0.127,$1.65,0.02,$4.53,0.03,$0.00,0,$64.43,0.856,0.003,0,$49.50,2.659,$15.76,0.306,$1.65,0.017,$0.03,0.001,$0.19,0.005,$8.14,0.092,$0.21,0.001,$1.52,0.005,$0.01,0,$0.03,0,$0.23,0.006,$4.54,0.138,$4.32,0.143,$18.09,1.144,$2.27,0.146,$62.16,0.709,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,$33.11,0.24,$11.55,0.09,$3.79,0.03,$1.24,0.01,$0.42,0,$0.14,0,$0.05,0,$0.02,0,$0.01,0,$0.00,0
"$1,200",1.78%,$781.64,"$1,149.23",$8.90,0.015,$0.25,0.001,$89.74,0.592,$33.35,0.243,$9.40,0.108,$2.13,0.007,$0.04,0.001,$5.51,0.164,$34.16,0.835,$24.63,1.391,$19.13,0.201,$11.97,0.143,$1.91,0.022,$5.26,0.04,$0.00,0,$69.36,0.915,0.003,0,$54.03,2.838,$17.58,0.327,$1.97,0.018,$0.03,0.001,$0.22,0.006,$9.18,0.102,$0.26,0.001,$1.88,0.006,$0.01,0,$0.03,0.001,$0.30,0.007,$5.21,0.157,$4.85,0.157,$19.78,1.234,$2.64,0.161,$66.72,0.754,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$36.61,0.27,$13.36,0.11,$4.62,0.04,$1.60,0.02,$0.56,0.01,$0.19,0,$0.07,0,$0.03,0,$0.01,0,$0.01,0
"$1,300",1.64%,$831.54,"$1,249.25",$10.93,0.017,$0.27,0.001,$95.16,0.626,$36.32,0.264,$10.46,0.119,$2.57,0.008,$0.05,0.001,$6.22,0.185,$36.81,0.891,$26.75,1.492,$21.43,0.222,$13.36,0.158,$2.13,0.024,$5.95,0.04,$0.00,0,$73.82,0.969,0.003,0,$58.36,3.001,$19.25,0.345,$2.20,0.019,$0.03,0.001,$0.25,0.006,$10.21,0.113,$0.33,0.001,$2.24,0.007,$0.01,0,$0.04,0.001,$0.36,0.009,$5.86,0.176,$5.38,0.171,$21.38,1.322,$3.08,0.174,$70.74,0.795,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$40.07,0.29,$15.22,0.12,$5.52,0.05,$2.00,0.02,$0.74,0.01,$0.26,0,$0.09,0,$0.04,0,$0.02,0,$0.01,0
"$1,400",1.55%,$879.84,"$1,349.25",$12.91,0.019,$0.29,0.001,$100.05,0.657,$39.25,0.285,$11.56,0.131,$3.11,0.01,$0.06,0.001,$6.90,0.204,$39.36,0.941,$28.85,1.584,$23.82,0.243,$14.73,0.173,$2.37,0.026,$6.72,0.04,$0.00,0,$78.21,1.021,0.003,0,$62.64,3.158,$21.10,0.361,$2.40,0.02,$0.03,0.001,$0.28,0.007,$11.28,0.123,$0.42,0.001,$2.70,0.009,$0.01,0,$0.05,0.001,$0.41,0.009,$6.50,0.195,$5.91,0.184,$22.95,1.4,$3.50,0.187,$74.71,0.833,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$43.29,0.31,$17.01,0.13,$6.44,0.05,$2.46,0.02,$0.95,0.01,$0.36,0,$0.13,0,$0.06,0,$0.03,0,$0.01,0
"$1,500",1.43%,$926.67,"$1,449.61",$15.23,0.022,$0.33,0.001,$104.49,0.685,$41.95,0.303,$12.53,0.141,$3.67,0.011,$0.07,0.001,$7.61,0.223,$41.81,0.987,$30.75,1.669,$26.05,0.262,$16.06,0.187,$2.59,0.029,$7.39,0.05,$0.00,0,$82.42,1.069,0.003,0,$66.79,3.308,$22.92,0.378,$2.69,0.022,$0.03,0.001,$0.31,0.008,$12.22,0.133,$0.51,0.001,$3.16,0.01,$0.01,0,$0.05,0.001,$0.48,0.011,$7.13,0.212,$6.37,0.196,$24.37,1.473,$3.94,0.199,$78.48,0.87,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,$46.26,0.33,$18.73,0.15,$7.35,0.06,$2.92,0.03,$1.18,0.01,$0.46,0,$0.18,0,$0.08,0,$0.04,0,$0.02,0
"$1,600",1.35%,$972.10,"$1,549.89",$17.52,0.024,$0.35,0.001,$108.70,0.712,$44.69,0.323,$13.67,0.153,$4.26,0.013,$0.08,0.001,$8.44,0.245,$44.09,1.029,$32.58,1.749,$28.35,0.282,$17.39,0.201,$2.83,0.031,$8.12,0.05,$0.00,0,$86.45,1.115,0.003,0,$70.78,3.444,$24.70,0.393,$2.94,0.023,$0.04,0.001,$0.34,0.008,$13.33,0.144,$0.63,0.001,$3.63,0.011,$0.01,0,$0.06,0.001,$0.58,0.013,$7.86,0.232,$6.81,0.208,$25.77,1.541,$4.41,0.211,$82.04,0.904,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$49.13,0.35,$20.43,0.16,$8.27,0.07,$3.39,0.03,$1.41,0.01,$0.57,0.01,$0.23,0,$0.10,0,$0.05,0,$0.02,0
"$1,700",1.25%,"$1,016.24","$1,650.05",$19.95,0.026,$0.37,0.001,$112.31,0.735,$47.21,0.34,$14.76,0.164,$4.88,0.014,$0.10,0.001,$9.19,0.266,$46.39,1.067,$34.44,1.822,$30.44,0.3,$18.60,0.214,$3.03,0.032,$8.80,0.05,$0.00,0,$90.43,1.159,0.003,0,$74.57,3.574,$26.47,0.407,$3.16,0.024,$0.05,0.001,$0.37,0.009,$14.38,0.155,$0.79,0.002,$4.09,0.012,$0.02,0,$0.07,0.001,$0.67,0.015,$8.52,0.251,$7.31,0.219,$27.13,1.604,$5.04,0.223,$85.39,0.936,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$51.60,0.37,$21.93,0.17,$9.09,0.08,$3.84,0.03,$1.64,0.02,$0.69,0.01,$0.29,0,$0.13,0,$0.06,0,$0.03,0
"$1,800",1.24%,"$1,059.12","$1,749.36",$22.66,0.028,$0.40,0.001,$115.93,0.758,$49.79,0.357,$15.90,0.175,$5.47,0.016,$0.11,0.002,$10.04,0.289,$48.67,1.105,$36.25,1.896,$32.60,0.318,$19.78,0.226,$3.28,0.034,$9.54,0.06,$0.00,0,$94.43,1.205,0.003,0,$78.35,3.697,$28.36,0.42,$3.52,0.025,$0.05,0.001,$0.39,0.009,$15.51,0.167,$0.93,0.002,$4.54,0.014,$0.02,0,$0.09,0.001,$0.76,0.016,$9.28,0.273,$7.81,0.23,$28.44,1.665,$5.62,0.235,$88.81,0.97,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$54.15,0.39,$23.53,0.18,$10.01,0.08,$4.35,0.04,$1.91,0.02,$0.82,0.01,$0.35,0,$0.16,0,$0.08,0,$0.03,0
"$1,900",1.12%,"$1,100.83","$1,849.49",$25.25,0.03,$0.45,0.001,$119.18,0.778,$52.30,0.376,$17.16,0.188,$6.11,0.017,$0.14,0.002,$10.82,0.311,$50.94,1.139,$37.82,1.96,$34.53,0.334,$20.83,0.237,$3.49,0.036,$10.21,0.06,$0.00,0,$97.99,1.246,0.003,0,$81.85,3.81,$30.15,0.432,$3.85,0.027,$0.05,0.001,$0.43,0.01,$16.74,0.178,$1.07,0.002,$5.04,0.015,$0.03,0,$0.11,0.001,$0.86,0.018,$9.96,0.292,$8.23,0.24,$29.59,1.72,$6.17,0.247,$91.81,0.999,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$56.44,0.4,$24.95,0.19,$10.85,0.09,$4.83,0.04,$2.18,0.02,$0.96,0.01,$0.43,0,$0.21,0,$0.11,0,$0.05,0
"$2,000",1.10%,"$1,141.44","$1,950.03",$28.08,0.033,$0.49,0.001,$122.37,0.798,$54.73,0.393,$18.45,0.201,$6.85,0.019,$0.15,0.002,$11.76,0.336,$53.24,1.172,$39.46,2.025,$36.33,0.349,$21.88,0.248,$3.66,0.038,$10.79,0.06,$0.01,0,$101.71,1.287,0.003,0,$85.26,3.919,$31.86,0.444,$4.20,0.028,$0.05,0.001,$0.45,0.01,$18.00,0.19,$1.28,0.002,$5.57,0.017,$0.03,0,$0.12,0.001,$0.97,0.02,$10.78,0.316,$8.70,0.252,$30.76,1.773,$6.83,0.258,$94.88,1.028,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,$58.74,0.42,$26.41,0.2,$11.73,0.09,$5.33,0.05,$2.45,0.02,$1.11,0.01,$0.51,0.01,$0.25,0,$0.13,0,$0.07,0
"$2,100",1.03%,"$1,180.99","$2,049.92",$31.04,0.035,$0.52,0.001,$125.32,0.817,$57.30,0.41,$19.60,0.212,$7.51,0.02,$0.16,0.002,$12.61,0.357,$55.28,1.2,$40.94,2.082,$38.16,0.363,$22.88,0.258,$3.83,0.039,$11.44,0.07,$0.01,0,$105.06,1.323,0.003,0,$88.60,4.022,$33.84,0.456,$4.56,0.03,$0.05,0.001,$0.48,0.01,$19.12,0.201,$1.45,0.003,$6.06,0.018,$0.03,0,$0.13,0.002,$1.07,0.022,$11.54,0.336,$9.08,0.26,$31.86,1.822,$7.45,0.269,$97.61,1.054,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,$60.86,0.43,$27.79,0.21,$12.56,0.1,$5.82,0.05,$2.73,0.02,$1.27,0.01,$0.60,0.01,$0.31,0,$0.16,0,$0.09,0
"$2,200",0.98%,"$1,219.53","$2,149.53",$33.89,0.037,$0.56,0.001,$128.07,0.835,$59.43,0.425,$20.74,0.223,$8.29,0.022,$0.17,0.002,$13.50,0.38,$57.46,1.227,$42.47,2.137,$39.98,0.378,$23.90,0.268,$4.00,0.041,$12.07,0.07,$0.01,0,$108.36,1.36,0.003,0,$91.88,4.119,$35.84,0.467,$4.90,0.031,$0.07,0.001,$0.51,0.011,$20.23,0.212,$1.70,0.003,$6.59,0.019,$0.03,0.001,$0.14,0.002,$1.16,0.023,$12.34,0.357,$9.55,0.27,$32.92,1.868,$8.09,0.28,$100.27,1.081,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,$62.89,0.44,$29.12,0.22,$13.37,0.11,$6.29,0.05,$3.00,0.03,$1.43,0.01,$0.70,0.01,$0.37,0,$0.20,0,$0.12,0
"$2,300",0.94%,"$1,257.12","$2,249.43",$36.99,0.039,$0.64,0.001,$130.60,0.85,$61.69,0.441,$21.90,0.234,$9.00,0.024,$0.19,0.002,$14.40,0.404,$59.39,1.251,$43.93,2.191,$41.80,0.392,$24.91,0.278,$4.16,0.042,$12.72,0.07,$0.01,0,$111.60,1.394,0.003,0,$95.18,4.215,$37.70,0.477,$5.28,0.032,$0.07,0.001,$0.55,0.012,$21.35,0.223,$1.92,0.003,$7.08,0.02,$0.04,0.001,$0.16,0.002,$1.23,0.024,$13.17,0.38,$9.94,0.278,$33.99,1.913,$8.77,0.29,$102.83,1.104,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,$64.73,0.45,$30.33,0.23,$14.11,0.11,$6.73,0.06,$3.27,0.03,$1.58,0.01,$0.78,0.01,$0.42,0,$0.23,0,$0.13,0
"$2,400",0.90%,"$1,293.79","$2,349.63",$40.32,0.042,$0.70,0.001,$133.05,0.866,$64.02,0.457,$22.88,0.244,$9.74,0.025,$0.21,0.003,$15.18,0.424,$61.41,1.276,$45.35,2.24,$43.48,0.406,$25.86,0.288,$4.36,0.043,$13.27,0.07,$0.01,0,$114.91,1.428,0.003,0,$98.27,4.304,$39.67,0.487,$5.63,0.033,$0.07,0.001,$0.58,0.012,$22.30,0.232,$2.15,0.004,$7.59,0.022,$0.04,0.001,$0.17,0.002,$1.36,0.026,$13.82,0.398,$10.33,0.286,$35.02,1.955,$9.52,0.3,$105.39,1.128,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,$66.55,0.47,$31.53,0.24,$14.87,0.12,$7.17,0.06,$3.52,0.03,$1.73,0.02,$0.87,0.01,$0.47,0.01,$0.26,0,$0.15,0
"$2,500",0.86%,"$1,329.58","$2,449.60",$43.62,0.044,$0.75,0.001,$135.37,0.88,$66.10,0.471,$23.90,0.254,$10.54,0.027,$0.21,0.003,$16.05,0.447,$63.34,1.298,$46.74,2.288,$45.14,0.419,$26.72,0.297,$4.52,0.045,$13.90,0.08,$0.01,0,$118.00,1.461,0.004,0,$101.35,4.39,$41.81,0.499,$6.04,0.035,$0.07,0.001,$0.61,0.013,$23.29,0.241,$2.42,0.004,$8.11,0.023,$0.04,0.001,$0.17,0.002,$1.48,0.029,$14.57,0.418,$10.73,0.294,$36.00,1.994,$10.30,0.31,$107.70,1.15,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,$68.26,0.48,$32.67,0.24,$15.57,0.12,$7.60,0.06,$3.78,0.03,$1.89,0.02,$0.96,0.01,$0.53,0.01,$0.30,0,$0.17,0
