Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disorder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,16.62%,$0.00,$0.00,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$100,3.00%,$81.74,$45.29,$0.00,0,$0.00,0.001,$0.50,0.007,$0.32,0.005,$0.06,0.002,$0.00,0,$0.00,0,$0.04,0.002,$0.64,0.021,$0.27,0.024,$0.10,0.003,$0.09,0.003,$0.01,0,$0.00,0,$0.00,0,$1.69,0.067,0.002,0,$3.34,0.349,$0.81,0.026,$0.13,0.003,$0.00,0,$0.00,0.001,$0.06,0.001,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.04,0.002,$0.03,0.003,$0.24,0.021,$0.01,0.008,$1.68,0.059,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$200,3.45%,$160.48,$152.58,$0.04,0,$0.05,0.001,$7.11,0.062,$2.48,0.024,$0.49,0.007,$0.01,0,$0.00,0,$0.26,0.009,$2.59,0.069,$1.16,0.088,$0.40,0.01,$0.31,0.008,$0.04,0.001,$0.05,0,$0.00,0,$7.63,0.152,0.002,0,$7.29,0.607,$1.79,0.056,$0.20,0.005,$0.01,0,$0.00,0.001,$0.49,0.006,$0.00,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.26,0.009,$0.13,0.007,$1.03,0.081,$0.09,0.016,$7.54,0.136,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$0.43,0.01,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$300,3.60%,$235.58,$249.19,$0.17,0.001,$0.07,0.001,$16.31,0.126,$5.50,0.047,$1.06,0.015,$0.04,0,$0.00,0,$0.56,0.018,$5.35,0.14,$2.71,0.197,$1.09,0.02,$0.78,0.015,$0.10,0.002,$0.21,0,$0.00,0,$15.01,0.243,0.003,0,$11.41,0.851,$3.06,0.091,$0.32,0.006,$0.01,0,$0.01,0.001,$1.05,0.014,$0.00,0,$0.04,0,$0.00,0,$0.00,0,$0.01,0,$0.55,0.018,$0.31,0.015,$2.39,0.182,$0.19,0.028,$14.82,0.215,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$2.21,0.02,$0.16,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$400,3.38%,$307.20,$349.34,$0.65,0.002,$0.10,0.001,$26.39,0.193,$8.50,0.07,$1.78,0.024,$0.07,0,$0.00,0,$0.96,0.031,$8.38,0.224,$4.84,0.335,$2.19,0.034,$1.51,0.025,$0.23,0.004,$0.46,0.01,$0.00,0,$22.10,0.331,0.003,0,$16.06,1.106,$4.48,0.126,$0.42,0.008,$0.01,0,$0.03,0.002,$1.75,0.023,$0.00,0,$0.07,0,$0.00,0,$0.00,0,$0.02,0.001,$0.94,0.03,$0.63,0.029,$4.21,0.306,$0.35,0.041,$21.75,0.29,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$5.11,0.05,$0.67,0.01,$0.06,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$500,3.12%,$375.57,$449.58,$1.19,0.004,$0.11,0.001,$36.38,0.257,$11.53,0.091,$2.60,0.033,$0.15,0.001,$0.00,0,$1.40,0.044,$11.70,0.313,$7.28,0.482,$3.62,0.051,$2.41,0.037,$0.37,0.006,$0.84,0.01,$0.00,0,$29.20,0.416,0.002,0,$20.78,1.355,$5.79,0.153,$0.56,0.009,$0.01,0,$0.04,0.002,$2.56,0.032,$0.01,0,$0.14,0.001,$0.00,0,$0.00,0,$0.02,0.001,$1.37,0.043,$1.02,0.043,$6.26,0.439,$0.56,0.055,$28.64,0.361,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$8.66,0.07,$1.51,0.01,$0.19,0,$0.02,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$600,2.90%,$440.94,$549.50,$1.79,0.005,$0.12,0.001,$45.74,0.317,$14.70,0.114,$3.49,0.044,$0.26,0.001,$0.01,0,$1.85,0.058,$15.11,0.399,$9.83,0.63,$5.38,0.07,$3.52,0.05,$0.52,0.008,$1.34,0.01,$0.00,0,$35.92,0.5,0.003,0,$25.71,1.597,$7.45,0.184,$0.73,0.01,$0.02,0.001,$0.07,0.003,$3.42,0.041,$0.01,0,$0.24,0.001,$0.00,0,$0.01,0,$0.04,0.001,$1.81,0.056,$1.52,0.06,$8.31,0.57,$0.75,0.07,$35.16,0.43,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$12.69,0.1,$2.74,0.03,$0.49,0.01,$0.08,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$700,2.69%,$503.50,$649.18,$2.55,0.006,$0.15,0.001,$54.80,0.374,$17.98,0.136,$4.40,0.055,$0.43,0.002,$0.01,0,$2.32,0.072,$18.66,0.485,$12.55,0.778,$7.31,0.09,$4.72,0.064,$0.71,0.01,$1.87,0.02,$0.00,0,$42.40,0.581,0.003,0,$30.43,1.832,$8.93,0.211,$0.87,0.011,$0.02,0.001,$0.09,0.004,$4.30,0.052,$0.03,0,$0.40,0.002,$0.00,0,$0.01,0,$0.07,0.002,$2.24,0.07,$2.11,0.078,$10.45,0.7,$1.00,0.086,$41.40,0.495,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,$16.94,0.13,$4.26,0.04,$0.93,0.01,$0.19,0,$0.04,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0
$800,2.49%,$563.48,$749.24,$3.44,0.008,$0.17,0.001,$63.12,0.425,$21.26,0.159,$5.34,0.066,$0.64,0.003,$0.01,0,$2.87,0.088,$22.31,0.567,$15.12,0.916,$9.47,0.111,$6.11,0.08,$0.94,0.013,$2.42,0.02,$0.00,0,$48.54,0.657,0.003,0,$35.27,2.054,$10.45,0.236,$1.04,0.012,$0.02,0.001,$0.12,0.004,$5.22,0.062,$0.05,0,$0.59,0.002,$0.00,0,$0.01,0,$0.10,0.003,$2.76,0.085,$2.68,0.095,$12.45,0.821,$1.30,0.102,$47.24,0.555,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$21.11,0.16,$5.91,0.05,$1.46,0.01,$0.35,0,$0.09,0,$0.02,0,$0.01,0,$0.00,0,$0.00,0,$0.00,0
$900,2.24%,$621.10,$849.11,$4.48,0.009,$0.18,0.001,$70.71,0.473,$24.38,0.181,$6.30,0.076,$0.94,0.004,$0.02,0,$3.57,0.109,$25.55,0.643,$17.63,1.045,$11.73,0.133,$7.55,0.096,$1.15,0.015,$3.04,0.02,$0.00,0,$54.13,0.728,0.003,0,$40.07,2.27,$12.21,0.261,$1.22,0.014,$0.02,0.001,$0.13,0.004,$6.17,0.072,$0.08,0,$0.86,0.003,$0.00,0,$0.01,0,$0.14,0.004,$3.43,0.105,$3.22,0.11,$14.41,0.935,$1.65,0.118,$52.49,0.61,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,$25.29,0.19,$7.80,0.07,$2.16,0.02,$0.58,0.01,$0.16,0,$0.05,0,$0.01,0,$0.01,0,$0.00,0,$0.00,0
