,id,carrier_name,name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,27330CA0130006,Kaiser Permanente,Platinum 90 PPO 0/15 + Child Dental,-0.44216831694821884,1.192509086790504,-1.0041493543190732,-1.0314490576447495,-0.9986020834103565,-1.0152232625556026,-1.6699507860917473,-1.5512709697547344,-1.6699507860917473,-1.5511983682252668,-1.2556803920061723,-2.432083209633574,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,27330CA0130007,Kaiser Permanente,Gold 80 PPO 350/25 + Child Dental,-0.44216831694821884,1.192509086790504,-0.8650600193521183,-0.9284284394893092,-0.8593726264880283,-0.9125920792796615,0.1872433073310318,0.12990569108288064,0.1872433073310318,0.13063999557991982,-0.5345583193067076,-1.0960492815138054,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,27330CA0130008,Kaiser Permanente,Silver 70 PPO 2500/55 + Child Dental,-0.44216831694821884,1.192509086790504,-0.010654104555109482,-0.10426349424578729,-0.004105962536583433,-0.091542613072133,0.7218900918012258,0.6138807904149213,0.7218900918012258,0.6148055851602008,0.5471247897424893,-1.0960492815138054,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,27330CA0130010,Kaiser Permanente,Bronze 60 PPO 6300/65 + Child Dental,-0.44216831694821884,1.192509086790504,1.4994586750861154,1.4616499017169042,1.5075281411915515,1.468451372722171,0.41235774289742927,0.33368468027531883,0.41235774289742927,0.3344991911926697,0.9076858260922216,6.920154287204808,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,27603CA0000001-77,CalChoice,Anthem Prudent Buyer Bronze PPO C (OOA),-0.44216831694821884,-0.8385680336335052,1.3802392451144396,1.338025159930376,1.3881886066866989,1.345293952791042,0.5811935695722273,0.4865189221696475,0.5811935695722273,0.48739358790223214,0.9076858260922216,0.23998464660596347,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5,27603CA0000002-77,CalChoice,Anthem Prudent Buyer Silver PPO D (OOA),2.261582211276136,-0.8385680336335052,-0.2093531545079022,-0.31030473055666774,-0.20300518671133805,-0.29680497962401514,-0.23484625935596345,-0.25217991365294096,-0.23484625935596345,-0.25159599619398626,0.5471247897424893,0.23998464660596347,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6,27603CA0000003-77,CalChoice,Anthem Select PPO Silver PPO E,2.261582211276136,-0.8385680336335052,-0.2093531545079022,-0.31030473055666774,-0.20300518671133805,-0.29680497962401514,-0.23484625935596345,-0.25217991365294096,-0.23484625935596345,-0.25159599619398626,0.5471247897424893,0.23998464660596347,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,27603CA0000009-77,CalChoice,Anthem Prudent Buyer Bronze PPO A (OOA),2.261582211276136,-0.8385680336335052,1.4795887700908361,1.4410457780858161,1.487638218774076,1.447925136066983,-0.23484625935596345,-0.25217991365294096,-0.23484625935596345,-0.25159599619398626,0.5471247897424893,0.23998464660596347,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8,27603CA0000011-77,CalChoice,Anthem Select PPO Bronze PPO D,-0.44216831694821884,-0.8385680336335052,1.3802392451144396,1.338025159930376,1.3881886066866989,1.345293952791042,0.5811935695722273,0.4865189221696475,0.5811935695722273,0.48739358790223214,0.9076858260922216,0.23998464660596347,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9,27603CA0000012-77,CalChoice,Anthem Select PPO Bronze PPO B,2.261582211276136,-0.8385680336335052,1.4795887700908361,1.4410457780858161,1.487638218774076,1.447925136066983,-0.23484625935596345,-0.25217991365294096,-0.23484625935596345,-0.25159599619398626,0.5471247897424893,0.23998464660596347,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,27603CA0000013-77,CalChoice,Anthem Select PPO Silver PPO B,-0.44216831694821884,-0.8385680336335052,-0.3285725844795779,-0.433929472343196,-0.3223447212161908,-0.4199623995551444,0.9188652229218236,0.7921874059583047,0.9188652229218236,0.793182381321357,0.9076858260922216,0.23998464660596347,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,27603CA0000014-77,CalChoice,Anthem Select PPO Gold PPO B,-0.44216831694821884,-0.8385680336335052,-0.6067512544134877,-0.7223872031784286,-0.40190441088609263,-0.7073297127277793,0.1872433073310318,0.12990569108288064,0.1872433073310318,0.13063999557991982,-0.1739972829569753,0.23998464660596347,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,27603CA0000015-77,CalChoice,Anthem Prudent Buyer Silver PPO C (OOA),-0.44216831694821884,-0.8385680336335052,-0.3285725844795779,-0.433929472343196,-0.3223447212161908,-0.4199623995551444,0.9188652229218236,0.7921874059583047,0.9188652229218236,0.793182381321357,0.9076858260922216,0.23998464660596347,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,27603CA0000016-77,CalChoice,Anthem Select PPO Gold PPO C,-0.44216831694821884,-0.8385680336335052,-0.8054503043662804,-0.7223872031784286,-0.7002532471482246,-0.7073297127277793,0.13096469843943245,0.0789609437847711,0.13096469843943245,0.07967519667673233,-0.5345583193067076,0.23998464660596347,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,27603CA0000017-77,CalChoice,Anthem Select PPO Gold PPO D,-0.44216831694821884,-0.8385680336335052,-0.40805220446069496,-0.5163459668675482,-0.40190441088609263,-0.5020673461758972,-0.12228904157276471,-0.15029041905672186,-0.12228904157276471,-0.1496663983876113,-0.1739972829569753,0.23998464660596347,0.0,0.0,1.0,0.0,0.0,0.0,1.0
